,beds,baths,size,zip_code,price
0,3,2.5,2590,587206,795000
1,4,2.0,2240,587155,915000
2,4,3.0,2040,587206,950000
3,4,3.0,3800,587201,1950000
4,2,2.0,1042,587201,950000
5,2,2.0,1190,587201,740000
6,1,1.0,670,587155,460000
7,5,3.5,4510,587114,3150000
8,3,2.5,1520,587201,565000
9,4,2.0,2340,587206,699000
10,3,2.0,1320,587201,899000
11,3,2.0,1800,587114,1050000
12,3,2.5,2490,587114,935625
13,4,3.0,2650,587202,1511000
14,5,1.5,2560,587203,1330000
15,2,1.5,900,587203,549755
16,3,3.5,1360,587203,700000
17,1,1.0,550,587206,330000
18,3,2.5,2974,587201,1750000
19,4,3.5,1989,587203,980000
20,2,2.0,1332,587205,845000
21,4,3.0,2668,587201,1213000
22,2,1.0,770,587201,530000
23,3,1.5,1280,587205,625000
24,5,3.5,3200,587114,1275000
25,2,1.5,889,587206,680000
26,1,1.0,508,587206,325000
27,3,2.0,3140,587114,1219700
28,4,2.0,2000,587201,907200
29,1,1.0,792,587201,517000
30,3,2.5,1690,587206,760000
31,4,5.5,3000,587114,1484000
32,3,3.0,1550,587205,950000
33,2,2.0,871,587201,430000
34,4,1.5,1940,587205,520000
35,1,1.0,474,587206,335000
36,3,2.0,1770,587155,805000
37,5,5.0,2510,587205,1000000
38,1,1.0,750,587201,375000
39,1,1.0,573,587205,390000
40,3,2.5,1500,587206,1070000
41,5,4.0,2920,587206,948000
42,3,2.0,2817,587201,912000
43,1,1.0,617,587155,480000
44,2,2.0,1280,587155,776000
45,2,2.0,1523,587201,1395000
46,2,1.0,1240,587201,750000
47,4,2.5,2280,587203,1065000
48,5,3.5,3590,587155,2350000
49,4,3.5,2478,587202,1580000
50,3,3.0,2360,587206,1775000
51,2,1.0,720,587201,600000
52,3,2.0,2480,587201,800000
53,3,2.0,1550,587155,1100000
54,2,1.0,780,587206,750000
55,5,3.0,2820,587201,865000
56,5,3.0,2900,587206,1450000
57,2,2.0,1092,587206,829000
58,3,2.0,1731,587203,575000
59,3,2.5,1500,587201,860000
60,2,2.5,1344,587206,770000
61,4,5.5,4040,587201,5495000
62,5,3.0,2320,587201,560000
63,5,3.0,2820,587205,900000
64,3,1.0,1070,587155,575000
65,2,1.0,1113,587203,595000
66,4,2.0,2100,587206,950000
67,3,2.5,2620,587206,1300000
68,3,2.0,1270,587201,727000
69,3,2.0,2702,587201,1605000
70,4,3.5,2031,587111,1480000
71,3,2.0,2350,587111,888000
72,4,1.5,2640,587101,1850000
73,3,1.5,1340,587101,615000
74,6,3.5,8660,587102,4100000
75,2,2.5,1365,587101,525000
76,1,1.0,635,587103,509950
77,3,1.0,1800,587103,549000
78,2,1.0,870,587111,555000
79,3,3.5,1510,587111,660000
80,3,1.0,1120,587111,615000
81,4,2.5,2580,587115,1635000
82,2,2.0,875,587115,420000
83,3,4.0,2220,587115,1650000
84,1,1.0,607,587115,427000
85,3,2.0,1496,587111,910000
86,4,3.5,2670,587207,1022700
87,2,1.5,1810,587204,925000
88,1,1.0,582,587115,360000
89,2,2.0,1006,587204,928000
90,3,5.5,1530,587103,635000
91,2,1.0,820,587103,490000
92,3,2.0,1960,587115,950000
93,4,3.0,2110,587103,760000
94,4,3.5,3010,587207,985000
95,3,1.0,2200,587111,1250000
96,3,2.5,1820,587207,690000
97,4,4.0,3040,587111,1585000
98,3,2.0,1800,587111,936000
99,1,1.0,800,587111,450000
100,3,3.0,1450,587111,750000
101,1,1.0,756,587204,550000
102,1,1.0,742,587204,354000
103,4,2.0,2400,587111,1385000
104,2,2.0,1607,587111,1865000
105,4,3.5,3057,587111,1800000
106,1,1.0,649,587111,346600
107,4,4.0,3142,587103,1600000
108,3,1.0,1050,587207,399950
109,3,2.0,1720,587111,855000
110,3,3.5,2650,587207,1095000
111,2,1.5,2680,587111,1125000
112,4,2.5,2550,587120,1560000
113,9,4.0,3800,587103,1343000
114,2,2.0,1320,587204,525000
115,4,2.0,1910,587207,630000
116,2,1.0,773,587204,360000
117,1,1.0,589,587204,375000
118,1,1.0,510,587103,302500
119,4,3.5,2661,587116,1165000
120,2,2.0,843,587121,346250
121,4,3.0,2250,587116,1150000
122,4,1.5,2080,587121,950000
123,3,3.5,1370,587116,699500
124,1,1.0,699,587117,335000
125,2,3.0,1840,587116,800000
126,4,3.5,3040,587117,1495000
127,2,1.0,858,587116,500000
128,5,8.5,3110,587117,1606500
129,2,2.0,1147,587116,749950
130,2,1.0,868,587117,415000
131,2,2.5,1538,587111,895000
132,2,1.0,1480,587116,720000
133,2,2.0,932,587116,435000
134,2,2.0,981,587204,450000
135,2,2.0,866,587116,555000
136,4,3.5,2000,587116,870000
137,3,3.5,1470,587301,845000
138,2,2.0,1840,587116,1200000
139,4,2.0,2230,587116,925000
140,2,1.5,1290,587116,795000
141,3,2.5,1670,587116,600000
142,1,1.0,630,587301,459000
143,3,2.0,1880,587116,911000
144,2,2.0,1188,587116,1350000
145,2,1.5,1300,587116,570288
146,1,1.0,857,587117,529000
147,2,2.0,1071,587116,605000
148,5,4.0,2810,587116,1295000
149,4,2.5,2400,587116,1595000
150,3,3.5,1670,587117,600000
151,3,2.5,2734,587116,1605200
152,3,2.5,1670,587116,865000
153,3,3.0,1530,587117,745000
154,4,1.0,1720,587124,543750
155,3,1.0,1200,587118,1099950
156,5,3.0,2030,587125,905000
157,3,2.0,2370,587112,1200000
158,3,1.5,1720,587125,825000
159,1,1.0,813,587125,680000
160,3,2.0,1590,587112,720000
161,1,1.0,626,587112,389200
162,2,1.0,840,587202,489000
163,2,2.0,1030,587115,575000
164,5,2.5,2870,587125,520000
165,1,1.0,792,587125,675000
166,2,1.5,994,587120,580000
167,3,2.0,1630,587124,630000
168,3,1.5,1172,587125,685000
169,3,2.0,1806,587112,799000
170,4,2.5,3060,587118,1450000
171,5,3.5,3820,587118,1350000
172,2,2.0,1328,587115,510000
173,3,2.5,2350,587154,1582800
174,3,2.5,2080,587112,977000
175,3,1.0,1000,587118,710000
176,2,1.5,1131,587154,685000
177,4,3.0,2230,587118,1205000
178,5,3.0,3130,587154,2095000
179,5,3.0,3750,587112,1580000
180,2,2.0,1080,587115,450000
181,2,2.0,1720,587154,985000
182,1,1.0,854,587154,455000
183,3,2.0,1286,587112,738000
184,2,1.5,1230,587118,650000
185,2,1.0,1422,587118,715000
186,4,3.5,3956,587115,3200000
187,6,5.0,3620,587112,1420000
188,3,1.5,1370,587202,659950
189,1,1.0,700,587154,325100
190,2,3.0,1824,587125,2458000
191,1,1.0,956,587125,870000
192,4,2.0,2370,587125,1350000
193,4,2.5,2200,587154,825000
194,6,3.0,3020,587125,775000
195,5,3.0,3400,587120,756500
196,3,1.0,1660,587118,749900
197,4,2.0,2080,587120,675000
198,2,1.5,917,587125,625000
199,2,1.0,900,587154,480000
200,4,4.5,3960,587125,2485000
201,1,1.0,889,587207,723000
202,5,3.5,3310,587124,1575000
203,1,1.0,621,587125,289900
204,3,3.5,1467,587118,859990
205,4,2.0,1910,587154,685000
206,3,2.5,1563,587120,839950
207,5,3.5,3340,587202,980000
208,4,3.0,2390,587118,1300000
209,2,1.5,1131,587125,670000
210,2,2.0,1201,587112,699950
211,3,3.0,1940,587120,450000
212,1,1.0,519,587118,354000
213,2,1.0,1760,587115,715000
214,4,3.0,1680,587124,905000
215,2,2.0,1192,587120,719950
216,4,4.0,2300,587124,1440000
217,3,2.5,2304,587118,1100000
218,4,4.0,2650,587154,1000000
219,5,4.0,4210,587202,2625000
220,4,3.0,2840,587115,1350000
221,2,1.0,980,587125,863000
222,4,4.5,2440,586126,1900000
223,2,2.0,1140,586125,590000
224,4,3.5,1824,586125,1299000
225,2,2.0,1115,586126,1069000
226,4,3.0,2478,586126,2095000
227,2,2.0,1140,586126,665000
228,3,1.5,1172,586126,685000
229,2,2.0,1433,586126,750000
230,3,2.0,1520,586126,760000
231,3,2.5,1380,586126,590000
232,15,6.0,11010,586126,3700000
233,4,2.0,1750,587119,1025000
234,3,2.5,3590,587301,1725000
235,1,1.0,646,587119,332000
236,5,3.0,2040,587301,605000
237,2,2.0,1560,587311,980000
238,2,2.5,1088,587311,835000
239,2,1.0,1460,587311,400000
240,3,2.0,1380,587121,800000
241,2,1.0,1000,586113,793000
242,2,2.0,1128,587301,625000
243,1,1.0,776,587312,515000
244,3,2.5,2000,587301,799000
245,3,2.0,2029,587121,685000
246,4,5.5,2867,587315,1750000
247,4,3.0,1180,587315,956300
248,3,2.0,1920,587315,1067000
249,2,2.0,2220,587311,551000
250,2,3.0,1300,587314,780000
251,1,1.0,596,587301,445000
252,3,2.0,1460,587119,583000
253,3,2.5,2500,587301,1685000
254,3,2.5,1540,587311,852500
255,5,3.0,2550,587301,940000
256,2,2.0,1018,587301,545000
257,3,2.5,1520,587301,540700
258,1,1.0,640,587119,345000
259,4,3.0,2190,586126,860000
260,2,1.0,930,587119,620000
261,5,2.5,2900,587119,800000
262,4,3.5,2780,587301,950000
263,3,1.0,2560,587121,776000
264,1,1.0,613,587311,325000
265,3,2.5,1566,587301,875000
266,2,2.0,1245,587301,330000
267,3,2.5,1190,587301,750000
268,5,2.5,2760,587119,1025000
269,4,1.5,3260,587119,1695000
270,4,3.0,2380,587121,1399999
271,2,2.5,1884,587119,925000
272,3,2.5,1712,587301,910000
273,2,2.0,1196,587311,734999
274,3,2.0,1098,587314,864950
275,3,3.0,1250,587314,815000
276,1,1.0,880,587314,700000
277,2,1.5,822,587315,400000
278,4,2.0,1595,587119,525000
279,3,3.0,2380,587119,1230000
280,3,2.0,3190,587301,2700000
281,3,2.5,1465,587315,1175000
282,4,2.0,2910,587315,1400000
283,2,3.0,1140,587315,675000
284,1,1.0,500,587301,385000
285,3,2.0,1580,587119,942000
286,1,1.0,683,587311,601000
287,5,3.0,2430,587301,915000
288,2,2.0,1128,587204,479950
289,2,2.0,2360,587313,1460000
290,3,2.5,1396,587113,780000
291,1,1.0,615,587313,485000
292,4,2.0,2340,587313,925000
293,4,1.5,2140,587313,700500
294,4,3.0,2980,587122,1090000
295,3,1.5,1390,587122,412000
296,2,1.0,720,587312,525000
297,1,1.0,712,587313,325000
298,4,2.5,1850,587121,945000
299,3,4.5,1710,587122,725000
300,2,1.0,970,587313,386000
301,3,2.0,1606,587313,1450000
302,3,2.5,1815,587122,1295000
303,2,1.0,1120,587122,700000
304,4,2.0,2220,587312,995000
305,1,1.0,570,587113,345000
306,3,2.0,1460,587122,888000
307,5,3.0,3820,587313,1575000
308,3,3.5,2480,587312,1795000
309,5,3.0,2777,587312,1338600
310,2,2.0,1170,587312,624999
311,1,1.0,587,587113,260000
312,3,1.0,1430,587313,980000
313,2,5.5,1320,587121,679950
314,2,2.0,2170,587312,893000
315,1,1.0,635,587121,495000
316,3,1.5,1630,587313,895000
317,2,2.0,1900,587313,1310000
318,3,2.0,1760,587122,689000
319,3,2.5,1712,587313,970000
320,4,2.5,3190,587313,1820000
321,4,3.5,3590,587313,2900000
322,1,1.0,630,587113,255000
323,2,2.0,1150,587113,615000
324,5,2.0,1830,587116,665000
325,2,1.0,760,587312,250000
326,3,2.5,2600,587313,1148000
327,3,2.0,2130,587122,990200
328,3,3.5,2899,587313,1800000
329,3,1.0,1090,587312,400000
330,4,4.0,3360,587316,1200000
331,4,2.5,2240,587313,1050000
332,2,1.0,886,587113,620000
333,3,2.0,1560,587313,799000
334,4,2.0,1730,587313,852000
335,3,2.0,1700,587313,1150000
336,4,3.5,1909,587122,1500000
337,3,2.0,2180,587313,1012000
338,1,1.0,681,560004,470000
339,3,3.0,1460,560034,1000000
340,1,1.0,704,560007,365000
341,2,1.0,1010,560092,549950
342,2,2.5,1635,560024,1850000
343,2,1.5,1022,560047,655000
344,3,1.0,990,560043,635000
345,2,2.0,1164,560017,706474
346,1,1.0,583,560001,349000
347,2,1.5,888,560025,700000
348,4,2.0,2740,560049,1400000
349,3,2.0,1670,560001,485000
350,3,1.0,830,560064,660000
351,2,2.0,1200,560092,705000
352,3,3.5,2530,560025,1299000
353,4,3.0,2660,560064,1360000
354,4,2.0,2820,560001,1441000
355,2,1.0,1011,560045,159488
356,2,1.5,1088,560036,590000
357,6,3.5,3785,560037,3150000
358,3,2.0,1540,560001,630000
