beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.5,2590,sqft,6000,sqft,587206,795000
4,2,2240,sqft,0.31,acre,587155,915000
4,3,2040,sqft,3783,sqft,587206,950000
4,3,3800,sqft,5175,sqft,587201,1950000
2,2,1042,sqft,,,587201,950000
2,2,1190,sqft,1,acre,587201,740000
1,1,670,sqft,6000,sqft,587155,460000
5,3.5,4510,sqft,6000,sqft,587114,3150000
3,2.5,1520,sqft,741,sqft,587201,565000
4,2,2340,sqft,9500,sqft,587206,699000
3,2,1320,sqft,1386,sqft,587201,899000
3,2,1800,sqft,3993,sqft,587114,1050000
3,2.5,2490,sqft,5757,sqft,587114,935625
4,3,2650,sqft,6380,sqft,587202,1511000
5,1.5,2560,sqft,5200,sqft,587203,1330000
2,1.5,900,sqft,,,587203,549755
3,3.5,1360,sqft,,,587203,700000
1,1,550,sqft,,,587206,330000
3,2.5,2974,sqft,3840,sqft,587201,1750000
4,3.5,1989,sqft,1607,sqft,587203,980000
2,2,1332,sqft,1101,sqft,587205,845000
4,3,2668,sqft,5589,sqft,587201,1213000
2,1,770,sqft,5250,sqft,587201,530000
3,1.5,1280,sqft,9100,sqft,587205,625000
5,3.5,3200,sqft,9260,sqft,587114,1275000
2,1.5,889,sqft,0.23,acre,587206,680000
1,1,508,sqft,,,587206,325000
3,2,3140,sqft,5000,sqft,587114,1219700
4,2,2000,sqft,8077,sqft,587201,907200
1,1,792,sqft,,,587201,517000
3,2.5,1690,sqft,1733,sqft,587206,760000
4,5.5,3000,sqft,5520,sqft,587114,1484000
3,3,1550,sqft,1400,sqft,587205,950000
2,2,871,sqft,0.29,acre,587201,430000
4,1.5,1940,sqft,8778,sqft,587205,520000
1,1,474,sqft,,,587206,335000
3,2,1770,sqft,3349,sqft,587155,805000
5,5,2510,sqft,0.27,acre,587205,1000000
1,1,750,sqft,,,587201,375000
1,1,573,sqft,,,587205,390000
3,2.5,1500,sqft,1056,sqft,587206,1070000
5,4,2920,sqft,6323,sqft,587206,948000
3,2,2817,sqft,6375,sqft,587201,912000
1,1,617,sqft,0.49,acre,587155,480000
2,2,1280,sqft,3000,sqft,587155,776000
2,2,1523,sqft,,,587201,1395000
2,1,1240,sqft,5038,sqft,587201,750000
4,2.5,2280,sqft,3932,sqft,587203,1065000
5,3.5,3590,sqft,0.36,acre,587155,2350000
4,3.5,2478,sqft,2761,sqft,587202,1580000
3,3,2360,sqft,6600,sqft,587206,1775000
2,1,720,sqft,7500,sqft,587201,600000
3,2,2480,sqft,5829,sqft,587201,800000
3,2,1550,sqft,6720,sqft,587155,1100000
2,1,780,sqft,3060,sqft,587206,750000
5,3,2820,sqft,6250,sqft,587201,865000
5,3,2900,sqft,3600,sqft,587206,1450000
2,2,1092,sqft,5500,sqft,587206,829000
3,2,1731,sqft,7514,sqft,587203,575000
3,2.5,1500,sqft,8240,sqft,587201,860000
2,2.5,1344,sqft,1110,sqft,587206,770000
4,5.5,4040,sqft,8965,sqft,587201,5495000
5,3,2320,sqft,0.27,acre,587201,560000
5,3,2820,sqft,6250,sqft,587205,900000
3,1,1070,sqft,3840,sqft,587155,575000
2,1,1113,sqft,,,587203,595000
4,2,2100,sqft,4864,sqft,587206,950000
3,2.5,2620,sqft,4080,sqft,587206,1300000
3,2,1270,sqft,1333,sqft,587201,727000
3,2,2702,sqft,6600,sqft,587201,1605000
4,3.5,2031,sqft,1,acre,587111,1480000
3,2,2350,sqft,7320,sqft,587111,888000
4,1.5,2640,sqft,7440,sqft,587101,1850000
